ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_disposal_of_fixed_assets,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
VNM,2025,2,3096088533277,521675831592,15324626688,465990729,0,-327506107156,85204331624,0,3452748763307,-620096984280,-192130805876,1368992555827,-19202727112,-77134972563,-6939791412,0,-9370653810,3896865384081,-421123605734,25859519366,0,836612959523,0,0,245118946699,686467819854,7200000000,0,4945600235911,-5376263263540,-4207249672340,-4630712699969,-47379496034,2538024316626,7798465653,2498443286245
VNM,2025,1,1951296195523,511791212722,2485756955,4698502109,0,-343185308883,75155207673,0,2263061347306,915922733863,-1409385906048,-429866370896,-61949344633,-58880104706,-931863109189,0,-411754049754,-124714804057,-417018396950,25697543325,0,774829727404,0,983316000,157981771666,542473961445,0,0,4902420919300,-3963677101750,-1044977722500,-106233904950,311525252438,2225943732075,555332113,2538024316626
VNM,2024,4,2643368770905,502861179798,18671148659,-8934928035,0,-372031320266,66109861870,0,2934405659183,-534613780488,285415987686,-329849561692,54380811447,-79577377555,-903017091931,0,-131521295692,1295623350958,-381309452011,29902760669,2667539526912,0,0,9270000000,366050616797,2691453452367,0,0,6973203593000,-6160349023505,-5196551452950,-4383696883455,-396620080130,2616234711174,6329101031,2225943732075
VNM,2024,3,2941801640478,563849144337,4509743614,3348586438,0,-385090432461,62624826693,0,3279156925716,502122753268,286105749551,305903634499,1935649987,-37626107253,6908783596,0,-180167324440,4164340064924,-392175886355,30627539290,-3434575257325,0,0,26434764000,550444893405,-3219243946985,0,0,2575708393458,-2093292902775,0,482415490683,1427511608622,1198562887528,-9839784976,2616234711174
VNM,2024,2,3308642928230,523825243110,2975914691,-5431153785,0,-330596189079,64294446778,0,3640893340416,-386731248915,137207411891,357463397480,90310558794,-80643224421,-384854168143,0,-55221142079,3318424925023,-589564090578,30356023115,-2852987065500,-34235481165,0,0,262540916333,-3183889697795,46207000000,0,5106918716760,-3967402455216,-1918097497500,-732374235956,-597839008728,1788254863348,8147032908,1198562887528
VNM,2024,1,2705840401722,504624077696,1299112526,-2331136075,0,-359178305121,86395425954,0,3012309463526,751974551131,-762680286964,-521637847835,-55379919602,-138840952227,-846730006438,0,-531465803150,907549198441,-378452282107,22762588100,0,34235481165,0,0,294041766712,-27412446130,676200000000,0,2764598729970,-4403425616970,-1044977722500,-2007604609500,-1127467857189,2912027359925,3695360612,1788254863348
VNM,2023,4,2852064600379,517866570359,17348002686,3572601291,0,-365104295780,96231603161,0,3208238846296,-764132499014,-578146961187,-442381898850,12023053003,-58107360372,-835119449240,0,-57098048554,485275682082,-519884863780,28701388834,-575419143856,0,0,10570000000,495280136848,-560752481954,-192872992,0,3046045712825,-1746367168668,-5190521652450,-3891035981285,-3966512781157,6875567986039,2972155043,2912027359925
VNM,2023,3,3075789821151,491605000895,381848059,2940062682,0,-414801393695,79600679532,0,3310908712134,300186241796,516836588561,392228055999,24881897683,-77085630938,-307037904564,0,-218978665662,3941939295009,-191415880964,27787128715,187826012209,0,-23894832735,0,463272969854,463575397079,151879882000,0,1011758029279,-279164172658,-135910000,884337828621,5289852520709,1582506692207,3208773123,6875567986039
VNM,2023,2,2727998544003,515807377104,4716037403,11071666376,0,-360411240906,95970637757,0,3069899179578,662820622520,291256666371,-521773785211,23859555186,-98141291364,-7391288214,0,-89110014039,3331419644827,-511069025115,25484345483,-2468710659705,-595311888127,0,0,183478453851,-3366128773613,338100000000,-142548827636,3233083516768,-3789115747176,-35001066500,-395482124544,-430191253330,2011202511723,1495433814,1582506692207
VNM,2023,1,2312046425953,529307916114,4416470035,-10136208614,0,-322449210933,82291916805,0,2670410792851,-443861503618,-1251259683318,128549496304,-52896323660,-69373556896,-414525307219,0,-438254973999,128788940445,-357267370903,22907922254,0,595311888127,-11875000000,0,225679908509,474757347987,0,0,4497529706931,-2462185467993,-2925937623000,-890593384062,-287047095630,2299943527624,-1693920271,2011202511723
VNM,2022,4,2295242241835,518465696774,18795035435,-37709125252,0,-309790581815,53226546796,0,2621819923631,-323856956229,100113197805,587684749308,-24722822830,-72895032400,-1182224363703,0,-68713560259,1637205135323,-544290990514,31517617681,0,2114126507322,-12275000000,0,439122953860,2028201088349,338100000000,0,74460006848,-4575198249609,-68054218220,-4230692460981,-565286237309,2867857717514,-2627952581,2299943527624
VNM,2022,3,2859883167325,519932114467,2508921921,8347587934,0,-304758106018,49942302240,0,3217130306317,145032717998,1170617557118,49012854865,-41625935038,-30200578249,-4319705578,0,-270371253685,4235275963748,-275135514383,32678492852,0,-542595808761,0,0,338287929867,-446764900425,0,0,2108262740353,-2424633276675,-5120390840250,-5436761376572,-1648250313249,4507497088287,8610942476,2867857717514
VNM,2022,2,2576057643749,519680313013,-23118769821,18765937820,0,-316464029016,36701642341,0,2899765051796,111504280918,554691597850,-288064121816,27917606527,-13859036144,-313608928018,0,-168342875725,2810003575388,-376750770688,41247791036,0,1468401014877,0,0,188785840560,1321683875785,0,0,-161958314770,-1096336875705,-52516937250,-1310812127725,2820875323448,1680858133124,5763631715,4507497088287
VNM,2022,1,2764351623836,537371734423,-2758112613,13818366371,0,-255201025309,26168600367,0,3164756998863,-220757350364,-974159283034,-734666056911,-34688910773,-24349437056,-475136766140,0,-556210692528,144788502057,-260736777031,31681656288,0,594783333169,-30900000000,0,234823238963,569651451389,0,0,4236765622155,-2692851399800,-2925937623000,-1382023400645,-667583447199,2348551874348,-110294025,1680858133124
VNM,2021,4,2688037023963,534531930191,31150685652,-945595838,0,-259127588460,23606131783,0,3112079516133,196920958051,-504395056818,133391669295,17733217659,-38442032429,-1443094434863,0,-163732710514,1310461126514,-476734934789,34591138702,-1270955615962,0,-18905857575,0,388908926691,-1343096342933,22540000000,0,3644283404234,-3305731540656,-44669622900,316422240678,283787024259,2051857098275,12907751814,2348551874348
VNM,2021,3,3586603289912,539359820888,2034675583,4153986284,0,-313784164169,-46532738825,0,3852210792259,240227639444,361721935211,236770041444,40181414369,-35611697178,-351391408402,0,-288672021480,4055436695667,-638146714343,37633032244,210878872106,0,0,0,316720627688,-72914182305,0,0,2331816027715,-2779299380232,-3134933167500,-3582416520017,400105993345,1663036014269,-11284909339,2051857098275
VNM,2021,2,3493684950239,547756789868,-3508982145,-3585620065,0,-246530287511,28072255034,0,3893497863282,-912285302715,-480784663584,383647905131,89748086761,-8489668682,-12962786832,0,-75004249781,2877367183580,-241674993139,31248056978,-424540543341,0,-4321875000,1336500000,149433956359,-488518898143,196000000000,0,911102897822,-682111123596,-2351459800500,-1926468026274,462380259163,1197956795582,2698959524,1663036014269
VNM,2021,1,3153910222805,499689193833,3789250096,-1281139009,0,-241554937720,12905990201,0,3494031135649,-41714113141,-1637223057031,730238705657,-147546962653,-15796286643,-549149282272,0,-644131581434,1188708558132,-174468716999,30432767605,-2029848548257,150000000,0,0,145015833823,-2028718663828,99320664553,0,2709758030232,-784318154711,-2089695872250,-64935332176,-904945437872,2111242815581,-8340582127,1197956795582
VNM,2020,4,2671876716607,545413737797,43717904388,17776990028,0,-602754158648,25857854618,0,3065931746758,338096748719,219062180306,-342930345042,-13902968116,-24747091435,-1376173589619,0,-242254695396,1623081986175,-331440622408,41623645123,355606409411,22720498078,0,15660460001,679703952898,783874343103,0,0,3513640917035,-2628425044234,-3515487388000,-2630271515199,-223315185921,2335881481579,-1323480077,2111242815581
VNM,2020,3,3777019789971,551231227788,-2000594719,-14810127185,0,-331009325392,38257217439,0,4151930444988,-156108957411,369339834301,154975681705,42452692812,-97654097013,-440226814798,0,-275703469573,3749005315011,-259511681417,45232304785,-1209731363792,-19798404571,0,56700000,239814007393,-1203938437602,0,0,2931509588341,-2703692788327,-2612066540460,-2384249740446,160817136963,2176667357252,-1603012636,2335881481579
VNM,2020,2,3711380577468,556761193198,6782636573,-70182197587,0,-305112953506,37641854799,0,4015191853351,-798813712450,-41272718213,-251611274053,116164637797,-43161271053,-3883737667,0,-64173681018,2928440096694,-285938583140,34914151212,-2151737750322,13050562820,0,5914424085,102167616423,-2281629578922,0,-14364328733,363879305622,-190086416469,-9682167601,149746392819,796556910591,1379711866875,398579786,2176667357252
VNM,2020,1,3358259002978,555460462969,1003914771,67852556191,0,-243434785501,42061538321,0,3857284664651,-98128897274,-817204595821,226768277649,-121073448246,-47206055606,-466046765343,0,-654774677678,1879641990348,-387926108738,28572651322,-1875408172827,15592992000,-8134000,0,118860284353,-2100316487890,0,0,960114694496,-231397975055,-1790475448000,-1061758728559,-1282433226101,2665194638452,-3049545476,1379711866875
VNM,2019,4,2649338858483,502928809106,1003332731,7871927410,0,-223541479216,35838396433,0,2996776067070,1086934191849,179425917988,-134249653741,18374333821,-59045450382,-830474047043,0,-7738740515,3245522579047,-412682027575,41889685185,-2150520561967,603109511,-674953145601,-5094607490,388922232516,-2811835315421,-127856925000,127768725000,2793809369363,-1606120787370,0,1187600381993,1621287645619,1043473767363,433225470,2665194638452
VNM,2019,3,3253756149711,494141498125,-748428436,-678177168,0,-171662309655,27795829812,0,3632874011664,-141321492048,466516959344,222731981563,118497985945,-81161524995,-499993419017,0,-272923098054,3445221404402,-515985946731,28996148615,-932595439820,638871538,-82911895211,0,89883118829,-1411975142780,-126787500,-21047760,2926898806392,-2105756532596,-3482755388000,-2661760949464,-628514687842,1676491290318,-4502835113,1043473767363
VNM,2019,2,3549831766256,478654208826,2076193560,468890998,0,-175936221517,25355145802,0,3908018643554,164882527594,-348103866318,130558345289,-24826984854,-69330211449,-294323955874,0,-146351574871,3320522923071,-551822503663,21603005352,360592524771,646992000,-1324814577950,6607824875,127792733879,-1359394000736,128305350940,-128807701000,2229905423649,-1113102253725,-2612087527500,-1495786707636,465342214699,1209154406312,1994669307,1676491290318
VNM,2019,1,3342782864107,472348259477,5001735507,-1204432181,0,-151304520654,19835521940,0,3718201085788,-736900175446,104156418177,-618843746648,-95636203348,-18379368663,-408800744034,0,-545135630656,1398661635170,-677758728707,21601148510,-492856250615,709224499,-75558716069,0,59192929151,-1164670393231,-321638440,127669500000,2476161669254,-1408133072360,-1741407855000,-546031396546,-312040154607,1522610167671,-1415606752,1209154406312
VNM,2018,4,2680499625011,435817082372,5482797862,-3513282284,31287841927,-12621228032,13558039918,-155905033876,3009588296958,631935457172,-1260296240064,1198124725250,44057075460,-73679724730,-812899793394,0,-97641858898,2639187937754,-754460003456,24503898262,-1302290439295,1196918636,0,16955703509,192851388570,-1821242533774,0,-634110920,2477404795723,-2401212316800,0,75558368003,893503771983,630784664818,-1678269130,1522610167671
VNM,2018,3,3033968043856,410134236563,-96807242830,-1357776969,22784482067,-5892802666,11981786169,-154195368449,3234595049035,-242670243422,502408308195,-696799651704,20297499116,-13598961804,-352525024151,-149174000,-211592389694,2239965411571,-735685538410,36327914820,1149651771427,189361909797,0,297000000,149506005109,789459062743,0,-370485840,38193734965,-880855186260,-2902384504000,-3745416441135,-715991966821,1343435279374,3341352265,630784664818
VNM,2018,2,3160765705183,395470414797,-4769281387,1373082074,25991779370,7564938916,17272008785,-183721795859,3433926543173,50598543542,-556307221605,264627245971,-6315983562,-15750004879,-394072132165,0,-149175286484,2627531703991,-1098217774830,10912852049,1051800663462,1692702019,-12250000000,0,175350527457,129288970157,0,-1685141000,371675657187,-166710243649,-2176870123500,-1973589850962,783230823186,563392699177,-3188242989,1343435279374
VNM,2018,1,3176462892073,385210648619,4227246199,2139828092,-10016587338,-14061854211,8555583980,-184754015176,3381743433532,-548399424564,-371241518450,-780464995133,10620079733,-7711647185,-320083426899,149174000,-731057695701,633553979333,-597432120943,22730847793,300000000000,764296338,0,1215000000,130071841502,-142650135310,0,-636147800,1940705852193,-654811071845,-2176917780000,-891659147452,-400755303429,963335914164,812088442,563392699177
VNM,2017,4,2085821039955,361296133295,8183557255,-1005453891,-3252258594,-23150316785,5015216618,-192250150991,2251507721441,-119692805765,-275746944565,104750988551,-3128340447,-19625043160,-882543002721,0,-9243768130,1046278805204,-1014868596476,49973489631,229998314361,-1429238222,13170000000,29535359489,247146083058,-446474588159,0,-1452559480,801702959833,-1107022314733,-4808323,-306776722703,293027494342,668414723359,1893696463,963335914164
VNM,2017,3,3223014334435,313041751008,3438771223,-235275295,9521857674,-8393748492,7006245652,-196524797524,3355459619830,-381497100128,309819135860,-84783736100,11749845419,-7006245652,-428250958947,0,-258595612325,2516894947957,-530926922208,12754474532,850011799478,1158251597,-100000000000,0,201425742917,434423346316,0,-54360575098,570803480214,-487796582887,-2903116484782,-2874470162553,76848131720,590906789944,659801695,668414723359
VNM,2017,2,3444022345991,314288377307,2837979598,2911766974,-1399766352,-18980009176,4023632084,-195028555940,3557266251635,-562133549735,-291495672990,864673523943,-20244107430,-4023632084,-433641587858,0,-107265614975,3003135610506,-609408193544,44351183120,-1298258834235,167837165623,0,0,117246260959,-1578232418077,0,-87145916880,726000210240,-792260176986,-2902686424000,-3056092307626,-1631189115197,2216760721249,5335183892,590906789944
VNM,2017,1,3476087663755,311243892290,-5248321388,2045337290,6756455655,-16609907192,13393474209,-186324026005,3605935049763,-535822761013,575893123634,74089011677,1622947718,-34476094310,-189074031088,0,-462882084959,3035285161422,-517785777958,13632259257,0,134306171542,0,0,189141986132,-180705361027,0,-139441921480,678543472183,-1837107787294,0,-1298006236591,1556573563804,655423095436,4764062009,2216760721249
VNM,2016,4,2204169931367,305898825987,9870879395,-2421530243,-11837673491,-625995076746,19574144919,490446032083,2389705533271,683975707234,-729218911374,294247502773,-15910075449,-6359793658,-696468005657,0,-86405240153,1833566716987,-563825266202,14992224440,-1448254879189,-68402720000,0,1800000000,148429296008,-1915261344943,0,-1064835600,793714910086,-823150958440,0,-30500883954,-112195511910,772572092518,-4953485172,655423095436
VNM,2016,3,3044873308173,299199643751,1997166470,-1122641475,-2944306481,11186138007,9907013298,-158222932118,3204873389625,-214469721916,415554950933,172466280018,-32188309264,-17902089394,-526612749831,0,-325166832602,2687584251069,-274831031269,19136893916,-2085033711,-318119017671,0,0,111424073132,-464474115603,354965040720,-459688141,2403872588708,-2434361645825,-4838199696000,-4514183400538,-2291073265072,3059808166107,3837191483,772572092518
VNM,2016,2,3362070367159,296186157902,10914616653,-2654178472,14781979972,138855035365,8704401479,-332223099965,3496635280093,-8767370365,-379289285036,271245446363,19322587690,-5530486223,-419991024402,0,-20535485116,2953089687014,-124416915644,8239997175,937769650000,385250985674,0,0,190774479178,1397618196383,0,-67797170608,194864990907,-239776180663,-2400278796000,-2512987156364,1837720727033,1228329938789,-6242499715,3059808166107
VNM,2016,1,2626512964197,289552380294,2069301682,4879483004,0,-159026751087,8313790353,0,2772301168443,-643813097813,-343931914727,-407564684707,112828925191,-4411251035,-128170725101,0,-442089418988,915540651263,-178539539234,7957839467,-937769650000,1270751997,-8100000000,0,151511215125,-963669382645,0,0,679432646891,-762757530671,0,-83324883780,-131453615162,1358682600684,1100953267,1228329938789
VNM,2015,4,2285812672463,282693269930,9452796831,-1832703171,0,-118645695328,8538729589,0,2466019070314,220420988772,-187776432431,-131452125151,-84322648065,-4302072489,-532921429124,0,-154964043556,1590690156909,-199490388329,-7757208485,-1309442450000,-438849070340,0,8843058117,171300066306,-1775395992731,784391909,0,922113056493,-816410975120,-1549950354,104936522928,-79769312894,1409857423245,28594490333,1358682600684
