,rmse,rmse,mae,mae,mape,mape,smape,smape
,mean,std,mean,std,mean,std,mean,std
fold,,,,,,,,
1,0.013195,2e-06,0.010204,1e-06,100.069185,0.015412,196.728095,0.712403
2,0.015685,2e-06,0.010987,2e-06,98.390283,0.058913,179.568155,0.628134
3,0.015533,0.0,0.011189,1e-06,100.810466,0.015514,174.660207,0.368521
