y_true,y_pred,y_true_cls,y_pred_cls,pnl_reg,equity_reg,pnl_cls,equity_cls
-0.007310236880684329,8.717683073579489e-05,0.0,0.49817136526107786,-0.00831023688068433,0.9916897631193157,-0.0,1.0
0.001442307942338239,8.717683073579489e-05,1.0,0.49817136526107786,0.001442307942338239,0.9931200851409981,0.0,1.0
-0.016347158239319093,8.717683073579489e-05,0.0,0.49817136526107786,-0.016347158239319093,0.9768853939585522,-0.0,1.0
-0.02597227363959309,8.717683073579489e-05,0.0,0.49817136526107786,-0.02597227363959309,0.951513459192139,-0.0,1.0
-0.020251293274396787,8.717683073579489e-05,0.0,0.49817136526107786,-0.020251293274396787,0.9322440810755033,-0.0,1.0
0.0194992250514332,8.717683073579489e-05,1.0,0.49817136526107786,0.0194992250514332,0.950422118215261,0.0,1.0
0.0,8.717683073579489e-05,0.0,0.49817136526107786,0.0,0.950422118215261,0.0,1.0
0.0022545099729738283,8.717683073579489e-05,1.0,0.49817136526107786,0.0022545099729738283,0.9525648543593123,0.0,1.0
0.0016251019264998945,8.717683073579489e-05,1.0,0.49817136526107786,0.0016251019264998945,0.9541128693392477,0.0,1.0
0.007590405384455323,8.717683073579489e-05,1.0,0.49817136526107786,0.007590405384455323,0.9613549728000584,0.0,1.0
-0.014609737288596492,8.717683073579489e-05,0.0,0.49817136526107786,-0.014609737288596492,0.9473098292063638,-0.0,1.0
0.0031397200046674456,8.717683073579489e-05,1.0,0.49817136526107786,0.0031397200046674456,0.950284116827741,0.0,1.0
-0.011603106593137014,8.717683073579489e-05,0.0,0.49817136526107786,-0.011603106593137014,0.9392578689264237,-0.0,1.0
0.0015211056298349845,8.717683073579489e-05,1.0,0.49817136526107786,0.0015211056298349845,0.9406865793587145,0.0,1.0
0.014710770095965664,8.717683073579489e-05,1.0,0.49817136526107786,0.014710770095965664,0.9545248033600209,0.0,1.0
0.028787816481136375,8.717683073579489e-05,1.0,0.49817136526107786,0.028787816481136375,0.9820034882258419,0.0,1.0
0.011814483413763455,8.717683073579489e-05,1.0,0.49817136526107786,0.011814483413763455,0.993605352149744,0.0,1.0
0.0008385744726213673,8.717683073579489e-05,1.0,0.49817136526107786,0.0008385744726213673,0.9944385642339167,0.0,1.0
0.005850413678174959,8.717683073579489e-05,1.0,0.49817136526107786,0.005850413678174959,1.0002564412122155,0.0,1.0
-0.005850413678174959,8.717683073579489e-05,0.0,0.49817136526107786,-0.005850413678174959,0.9944045272468649,-0.0,1.0
0.013913061101526125,8.717683073579489e-05,1.0,0.49817136526107786,0.013913061101526125,1.0082397381940846,0.0,1.0
-0.02960249710262275,8.717683073579489e-05,0.0,0.49817136526107786,-0.02960249710262275,0.9783933242654451,-0.0,1.0
-0.010516115498995227,8.717683073579489e-05,0.0,0.49817136526107786,-0.010516115498995227,0.9681044270640238,-0.0,1.0
0.0,8.717683073579489e-05,0.0,0.49817136526107786,0.0,0.9681044270640238,0.0,1.0
-0.012119861440419655,8.717683073579489e-05,0.0,0.49817136526107786,-0.012119861440419655,0.9563711355481509,-0.0,1.0
0.02639971597842372,8.717683073579489e-05,1.0,0.49817136526107786,0.02639971597842372,0.9816190618965847,0.0,1.0
-0.015017680444569415,8.717683073579489e-05,0.0,0.49817136526107786,-0.015017680444569415,0.9668774205067238,-0.0,1.0
0.006743113884890128,8.717683073579489e-05,1.0,0.49817136526107786,0.006743113884890128,0.9733971850659294,0.0,1.0
-0.010563911039356277,8.717683073579489e-05,0.0,0.49817136526107786,-0.010563911039356277,0.9631143037969331,-0.0,1.0
-0.015305468939061484,8.717683073579489e-05,0.0,0.49817136526107786,-0.015305468939061484,0.9483733877354033,-0.0,1.0
-0.011603106593137014,8.717683073579489e-05,0.0,0.49817136526107786,-0.011603106593137014,0.9373693102274149,-0.0,1.0
0.00468266374856352,8.717683073579489e-05,1.0,0.49817136526107786,0.00468266374856352,0.9417586955154328,0.0,1.0
0.003151594162345006,8.717683073579489e-05,1.0,0.49817136526107786,0.003151594162345006,0.9447267367225569,0.0,1.0
-0.00796112121586745,8.717683073579489e-05,0.0,0.49817136526107786,-0.00796112121586745,0.9372056526556377,-0.0,1.0
0.0008877053401405988,8.717683073579489e-05,1.0,0.49817136526107786,0.0008877053401405988,0.9380376151183101,0.0,1.0
0.002279058975837245,8.717683073579489e-05,1.0,0.49817136526107786,0.002279058975837245,0.9401754581647184,0.0,1.0
-0.011063888531570143,8.717683073579489e-05,0.0,0.49817136526107786,-0.011063888531570143,0.929773461695466,-0.0,1.0
-0.002432623951043489,8.717683073579489e-05,0.0,0.49817136526107786,-0.002432623951043489,0.9275116725035011,-0.0,1.0
-0.016023084760414363,8.717683073579489e-05,0.0,0.49817136526107786,-0.016023084760414363,0.9126500743587038,-0.0,1.0
0.00402990470635789,8.717683073579489e-05,1.0,0.49817136526107786,0.00402990470635789,0.9163279671886199,0.0,1.0
0.0,8.717683073579489e-05,0.0,0.49817136526107786,0.0,0.9163279671886199,0.0,1.0
-0.005724709883560664,8.717683073579489e-05,0.0,0.49817136526107786,-0.005724709883560664,0.9110822554182721,-0.0,1.0
0.0032566953814843203,8.717683073579489e-05,1.0,0.49817136526107786,0.0032566953814843203,0.9140493727916451,0.0,1.0
-0.0007806401645451544,8.717683073579489e-05,0.0,0.49817136526107786,-0.0007806401645451544,0.9133358291388667,-0.0,1.0
0.01767445867172146,8.717683073579489e-05,1.0,0.49817136526107786,0.01767445867172146,0.929478545504384,0.0,1.0
