,rmse,rmse,mae,mae,mape,mape,smape,smape
,mean,std,mean,std,mean,std,mean,std
fold,,,,,,,,
1,0.015939,0.0,0.011973,4e-06,100.079333,0.011929,195.571472,0.636288
2,0.019933,1e-05,0.014259,9e-06,99.688397,0.118751,194.860176,1.902623
3,0.019705,1.5e-05,0.014924,1.5e-05,99.692194,0.264002,175.667979,1.515868
