fold,pred_length,rmse,mae,mape,smape,cls_accuracy,cls_precision,n_models
1,193,0.015553137994189632,0.011595189786341829,99.93389040420062,196.22510941670578,0.5595854922279793,0.0,15
1,163,0.015939115386915604,0.011968553171324897,100.06518041446024,196.32718636727304,0.4294478527607362,0.4294478527607362,15
2,193,0.021543896165569645,0.015639517466006343,99.71992734690913,196.34754845593528,0.40932642487046633,0.0,15
2,163,0.0199331029940532,0.01425900659497132,99.69422538289285,194.92439647464855,0.4171779141104294,0.0,15
3,193,0.02067239634539008,0.01572077796856514,99.64124828985322,182.78298931327842,0.5284974093264249,0.0,15
3,163,0.01968483097266569,0.014904975827270003,99.53055626923913,177.99770104579727,0.5521472392638037,0.0,15
