fold,sample,predicted_return,actual_return,signal,confidence,directional_prob,correct_direction,profitable
1,0,8.709621227656802e-05,0.012357880846600722,HOLD,0.0,0.49718365669250486,True,True
1,1,8.709621227656802e-05,0.0,HOLD,0.0,0.49718365669250486,False,True
1,2,8.709621227656802e-05,-0.0006466214256990455,HOLD,0.0,0.49718365669250486,False,True
1,3,8.709621227656802e-05,-0.011711259420901676,HOLD,0.0,0.49718365669250486,False,True
1,4,8.709621227656802e-05,0.0,HOLD,0.0,0.49718365669250486,False,True
1,5,8.709621227656802e-05,0.01364987069040291,HOLD,0.0,0.49718365669250486,True,True
1,6,8.709621227656802e-05,0.005151331417129867,HOLD,0.0,0.49718365669250486,True,True
1,7,8.709621227656802e-05,0.015296665375473584,HOLD,0.0,0.49718365669250486,True,True
1,8,8.709621227656802e-05,0.0063051911283147355,HOLD,0.0,0.49718365669250486,True,True
1,9,8.709621227656802e-05,0.0025109868811581393,HOLD,0.0,0.49718365669250486,True,True
1,10,8.709621227656802e-05,-0.025398190605610438,HOLD,0.0,0.49718365669250486,False,True
1,11,8.709621227656802e-05,0.01973957758145861,HOLD,0.0,0.49718365669250486,True,True
1,12,8.709621227656802e-05,-0.0012618298204221112,HOLD,0.0,0.49718365669250486,False,True
1,13,8.709621227656802e-05,-0.021053409197832273,HOLD,0.0,0.49718365669250486,False,True
1,14,8.709621227656802e-05,0.007707167244937807,HOLD,0.0,0.49718365669250486,True,True
1,15,8.709621227656802e-05,0.010184683834165487,HOLD,0.0,0.49718365669250486,True,True
1,16,8.709621227656802e-05,0.014461113372662648,HOLD,0.0,0.49718365669250486,True,True
1,17,8.709621227656802e-05,0.003738322110606873,HOLD,0.0,0.49718365669250486,True,True
1,18,8.709621227656802e-05,-0.015037877364540542,HOLD,0.0,0.49718365669250486,False,True
1,19,8.709621227656802e-05,0.005037794029957521,HOLD,0.0,0.49718365669250486,True,True
1,20,8.709621227656802e-05,0.01805215533134774,HOLD,0.0,0.49718365669250486,True,True
1,21,8.709621227656802e-05,0.014089053880449232,HOLD,0.0,0.49718365669250486,True,True
1,22,8.709621227656802e-05,-0.014089053880449232,HOLD,0.0,0.49718365669250486,False,True
1,23,8.709621227656802e-05,0.009822055635458682,HOLD,0.0,0.49718365669250486,True,True
1,24,8.709621227656802e-05,-0.002446484400669746,HOLD,0.0,0.49718365669250486,False,True
1,25,8.709621227656802e-05,-0.007375571234788936,HOLD,0.0,0.49718365669250486,False,True
1,26,8.709621227656802e-05,-0.009296627228969179,HOLD,0.0,0.49718365669250486,False,True
1,27,8.709621227656802e-05,-0.016321768485694665,HOLD,0.0,0.49718365669250486,False,True
1,28,8.709621227656802e-05,0.010075651988741718,HOLD,0.0,0.49718365669250486,True,True
1,29,8.709621227656802e-05,-0.010075651988741718,HOLD,0.0,0.49718365669250486,False,True
1,30,8.709621227656802e-05,-0.014021899590318743,HOLD,0.0,0.49718365669250486,False,True
1,31,8.709621227656802e-05,-0.004503063254154949,HOLD,0.0,0.49718365669250486,False,True
1,32,8.709621227656802e-05,0.007067167223092419,HOLD,0.0,0.49718365669250486,True,True
1,33,8.709621227656802e-05,0.02027952895052909,HOLD,0.0,0.49718365669250486,True,True
1,34,8.709621227656802e-05,0.01556209432747524,HOLD,0.0,0.49718365669250486,True,True
1,35,8.709621227656802e-05,-0.0024737180208784793,HOLD,0.0,0.49718365669250486,False,True
1,36,8.709621227656802e-05,0.0024737180208784793,HOLD,0.0,0.49718365669250486,True,True
1,37,8.709621227656802e-05,-0.0030931048477413903,HOLD,0.0,0.49718365669250486,False,True
1,38,8.709621227656802e-05,-0.01121507082013995,HOLD,0.0,0.49718365669250486,False,True
1,39,8.709621227656802e-05,-0.0037664827954766444,HOLD,0.0,0.49718365669250486,False,True
1,40,8.709621227656802e-05,-0.0075757938084577425,HOLD,0.0,0.49718365669250486,False,True
1,41,8.709621227656802e-05,0.0,HOLD,0.0,0.49718365669250486,False,True
1,42,8.709621227656802e-05,0.013220211428134565,HOLD,0.0,0.49718365669250486,True,True
1,43,8.709621227656802e-05,0.016744577273801742,HOLD,0.0,0.49718365669250486,True,True
1,44,8.709621227656802e-05,0.0,HOLD,0.0,0.49718365669250486,False,True
1,45,8.709621227656802e-05,-0.005550430530648853,HOLD,0.0,0.49718365669250486,False,True
1,46,8.709621227656802e-05,0.02985296314968089,HOLD,0.0,0.49718365669250486,True,True
1,47,8.709621227656802e-05,-0.007833724905763617,HOLD,0.0,0.49718365669250486,False,True
1,48,8.709621227656802e-05,-0.01646880771326842,HOLD,0.0,0.49718365669250486,False,True
1,49,8.709621227656802e-05,0.00245700369305224,HOLD,0.0,0.49718365669250486,True,True
1,50,8.709621227656802e-05,0.034371788745160003,HOLD,0.0,0.49718365669250486,True,True
1,51,8.709621227656802e-05,-0.004158010148663571,HOLD,0.0,0.49718365669250486,False,True
1,52,8.709621227656802e-05,-0.0023837913552764434,HOLD,0.0,0.49718365669250486,False,True
1,53,8.709621227656802e-05,0.0035735594908650192,HOLD,0.0,0.49718365669250486,True,True
1,54,8.709621227656802e-05,-0.007758916871058119,HOLD,0.0,0.49718365669250486,False,True
1,55,8.709621227656802e-05,-0.006612587966595029,HOLD,0.0,0.49718365669250486,False,True
1,56,8.709621227656802e-05,0.010201108563926642,HOLD,0.0,0.49718365669250486,True,True
1,57,8.709621227656802e-05,0.005952398527295344,HOLD,0.0,0.49718365669250486,True,True
1,58,8.709621227656802e-05,-0.0011876485956561211,HOLD,0.0,0.49718365669250486,False,True
