,rmse,rmse,mae,mae,mape,mape,smape,smape
,mean,std,mean,std,mean,std,mean,std
fold,,,,,,,,
1,0.015939,0.0,0.011962,9e-06,100.038327,0.041758,197.148982,1.158096
2,0.019941,2e-05,0.014266,1.9e-05,99.78077,0.238443,196.019791,3.364972
3,0.01965,1.4e-05,0.014872,1.4e-05,99.678808,0.064262,183.761076,2.671613
