,rmse,rmse,mae,mae,mape,mape,smape,smape
,mean,std,mean,std,mean,std,mean,std
fold,,,,,,,,
1,0.010691,1e-06,0.008124,1e-06,98.884064,0.121939,191.392799,0.943518
2,0.015394,2e-06,0.010306,4e-06,99.495058,0.162972,193.816359,1.895504
3,0.010378,1.3e-05,0.007778,2.1e-05,100.862491,0.179922,175.844516,4.02286
