fold,sample,predicted_return,actual_return,signal,confidence,directional_prob,correct_direction,profitable
1,0,8.717683073579489e-05,-0.007310236880684329,HOLD,0.0,0.49817136526107786,False,True
1,1,8.717683073579489e-05,0.001442307942338239,HOLD,0.0,0.49817136526107786,True,True
1,2,8.717683073579489e-05,-0.016347158239319093,HOLD,0.0,0.49817136526107786,False,True
1,3,8.717683073579489e-05,-0.02597227363959309,HOLD,0.0,0.49817136526107786,False,True
1,4,8.717683073579489e-05,-0.020251293274396787,HOLD,0.0,0.49817136526107786,False,True
1,5,8.717683073579489e-05,0.0194992250514332,HOLD,0.0,0.49817136526107786,True,True
1,6,8.717683073579489e-05,0.0,HOLD,0.0,0.49817136526107786,False,True
1,7,8.717683073579489e-05,0.0022545099729738283,HOLD,0.0,0.49817136526107786,True,True
1,8,8.717683073579489e-05,0.0016251019264998945,HOLD,0.0,0.49817136526107786,True,True
1,9,8.717683073579489e-05,0.007590405384455323,HOLD,0.0,0.49817136526107786,True,True
1,10,8.717683073579489e-05,-0.014609737288596492,HOLD,0.0,0.49817136526107786,False,True
1,11,8.717683073579489e-05,0.0031397200046674456,HOLD,0.0,0.49817136526107786,True,True
1,12,8.717683073579489e-05,-0.011603106593137014,HOLD,0.0,0.49817136526107786,False,True
1,13,8.717683073579489e-05,0.0015211056298349845,HOLD,0.0,0.49817136526107786,True,True
1,14,8.717683073579489e-05,0.014710770095965664,HOLD,0.0,0.49817136526107786,True,True
1,15,8.717683073579489e-05,0.028787816481136375,HOLD,0.0,0.49817136526107786,True,True
1,16,8.717683073579489e-05,0.011814483413763455,HOLD,0.0,0.49817136526107786,True,True
1,17,8.717683073579489e-05,0.0008385744726213673,HOLD,0.0,0.49817136526107786,True,True
1,18,8.717683073579489e-05,0.005850413678174959,HOLD,0.0,0.49817136526107786,True,True
1,19,8.717683073579489e-05,-0.005850413678174959,HOLD,0.0,0.49817136526107786,False,True
1,20,8.717683073579489e-05,0.013913061101526125,HOLD,0.0,0.49817136526107786,True,True
1,21,8.717683073579489e-05,-0.02960249710262275,HOLD,0.0,0.49817136526107786,False,True
1,22,8.717683073579489e-05,-0.010516115498995227,HOLD,0.0,0.49817136526107786,False,True
1,23,8.717683073579489e-05,0.0,HOLD,0.0,0.49817136526107786,False,True
1,24,8.717683073579489e-05,-0.012119861440419655,HOLD,0.0,0.49817136526107786,False,True
1,25,8.717683073579489e-05,0.02639971597842372,HOLD,0.0,0.49817136526107786,True,True
1,26,8.717683073579489e-05,-0.015017680444569415,HOLD,0.0,0.49817136526107786,False,True
1,27,8.717683073579489e-05,0.006743113884890128,HOLD,0.0,0.49817136526107786,True,True
1,28,8.717683073579489e-05,-0.010563911039356277,HOLD,0.0,0.49817136526107786,False,True
1,29,8.717683073579489e-05,-0.015305468939061484,HOLD,0.0,0.49817136526107786,False,True
1,30,8.717683073579489e-05,-0.011603106593137014,HOLD,0.0,0.49817136526107786,False,True
1,31,8.717683073579489e-05,0.00468266374856352,HOLD,0.0,0.49817136526107786,True,True
1,32,8.717683073579489e-05,0.003151594162345006,HOLD,0.0,0.49817136526107786,True,True
1,33,8.717683073579489e-05,-0.00796112121586745,HOLD,0.0,0.49817136526107786,False,True
1,34,8.717683073579489e-05,0.0008877053401405988,HOLD,0.0,0.49817136526107786,True,True
1,35,8.717683073579489e-05,0.002279058975837245,HOLD,0.0,0.49817136526107786,True,True
1,36,8.717683073579489e-05,-0.011063888531570143,HOLD,0.0,0.49817136526107786,False,True
1,37,8.717683073579489e-05,-0.002432623951043489,HOLD,0.0,0.49817136526107786,False,True
1,38,8.717683073579489e-05,-0.016023084760414363,HOLD,0.0,0.49817136526107786,False,True
1,39,8.717683073579489e-05,0.00402990470635789,HOLD,0.0,0.49817136526107786,True,True
1,40,8.717683073579489e-05,0.0,HOLD,0.0,0.49817136526107786,False,True
1,41,8.717683073579489e-05,-0.005724709883560664,HOLD,0.0,0.49817136526107786,False,True
1,42,8.717683073579489e-05,0.0032566953814843203,HOLD,0.0,0.49817136526107786,True,True
1,43,8.717683073579489e-05,-0.0007806401645451544,HOLD,0.0,0.49817136526107786,False,True
1,44,8.717683073579489e-05,0.01767445867172146,HOLD,0.0,0.49817136526107786,True,True
1,45,8.717683073579489e-05,-0.019237569580060843,HOLD,0.0,0.49817136526107786,False,True
