,rmse,rmse,mae,mae,mape,mape,smape,smape
,mean,std,mean,std,mean,std,mean,std
fold,,,,,,,,
1,0.011323,2e-06,0.008629,1e-06,99.118111,0.359337,193.717661,2.398774
2,0.016518,3e-06,0.011135,3e-06,99.710815,0.08138,195.185673,1.304909
3,0.012445,2e-06,0.008932,2e-06,101.188764,0.025079,177.128483,0.37385
