fold,rmse,mae,mape,smape
1,0.011317840325409513,0.008626818170080524,100.06797794584305,199.69484475610068
2,0.016518848234204003,0.01113568607294478,99.736666080335,195.58469370002328
3,0.012432377127971522,0.008911892548345283,100.97042017665589,180.50403158700928
